TIME;HOME;AWAY;MATCH_ID;1;X;2;UG_0_2;UG_3_PLUS;UG_4_PLUS;GG;I_GG;GG_3_PLUS
10:00;Gloria Bistrita;Corvinul;744;7.25;4.05;1.42;1.85;1.85;3.2;2.12;5.7;2.68
10:00;Metalul Buzau;Campulung;751;1.2;5.35;10.0;2.37;1.5;2.28;2.07;5.2;2.45
10:00;Tunari;CSM Resita;758;5.1;3.7;1.6;1.85;1.85;3.2;1.87;5.1;2.4
11:00;Dobrudzha;Spartak Varna;762;2.03;3.3;3.65;1.75;1.95;3.5;1.77;4.95;2.4
11:00;Karvan;Zira;748;9.25;4.9;1.28;1.83;1.85;3.25;2.4;6.4;3.0
11:30;Beasain;Basconia;766;2.5;3.15;2.7;1.75;1.95;3.5;1.73;4.85;2.33
11:30;Keciorengucu;Sariyer;768;2.28;3.3;3.05;1.9;1.8;3.1;1.65;4.5;2.15
11:30;Afumati;FC ASA Tg. Mures;769;2.8;3.35;2.3;2.03;1.7;2.8;1.57;4.2;2.0
12:00;Kryvbas;Poltava;750;1.3;4.7;9.75;2.0;1.72;2.85;2.25;5.9;2.78
12:00;Smorgon;Vitebsk;760;2.55;2.9;2.85;1.57;2.25;4.3;1.92;5.5;2.68
12:00;Ural;Sokol Saratov;750;1.45;4.05;7.0;1.72;2.03;3.65;2.25;6.1;2.9
12:00;Ratchaburi;Chiangrai Utd;759;1.6;4.05;5.1;1.95;1.75;2.95;1.77;4.85;2.25
12:00;Sporting B;Feirense;762;2.2;3.25;3.15;1.67;2.1;3.85;1.85;5.2;2.52
12:30;Avellino;Reggiana;784;1.92;3.4;4.25;1.67;2.23;4.15;2.03;5.5;2.68
12:30;Kanchanaburi City;Ayutthaya Utd;767;1.95;3.65;3.55;2.05;1.7;2.8;1.6;4.33;2.0
12:35;Meizhou Hakka;Dalian Yingbo;773;1.97;3.7;3.2;2.33;1.52;2.35;1.47;3.75;1.8
13:00;Chelmsford;Braintree Town;769;4.15;3.95;1.8;2.03;1.77;3.0;1.7;4.65;2.15
13:00;Hertha;Dynamo Dresden;800;1.97;3.45;3.65;2.45;1.55;2.35;1.5;3.7;1.77
13:00;Karlsruher;Schalke;796;2.8;3.15;2.65;2.03;1.77;3.0;1.63;4.3;2.07
13:00;Nurnberg;Braunschweig;793;1.77;3.7;4.6;2.1;1.73;2.85;1.7;4.4;2.07
13:00;Bali United;Persib Bandung;766;3.3;3.4;2.05;1.95;1.75;2.95;1.62;4.4;2.07
13:00;Buriram;Nakhon Ratchasima;750;1.15;7.5;15.0;2.6;1.42;2.1;2.23;5.45;2.55
13:00;Hrvace;Orijent;758;3.85;3.25;1.85;1.67;2.03;3.7;1.88;5.2;2.5
13:00;Falkenberg;Vasteras;769;4.2;4.25;1.72;2.15;1.67;2.72;1.67;4.45;2.05
13:00;Orgryte;Kalmar;773;2.68;3.75;2.37;2.28;1.6;2.52;1.5;3.9;1.85
13:00;Chelsea W;London City W;747;1.08;8.25;16.0;3.35;1.27;1.7;2.1;4.65;2.32
13:00;Man City W;West Ham W;747;1.08;8.25;15.0;3.55;1.23;1.65;1.97;4.35;2.17
13:15;Kazincbarcikai;Puskas Ac.;783;5.1;3.5;1.7;2.03;1.7;2.8;1.7;4.6;2.15
13:30;Leicester;Blackburn;795;1.77;3.7;4.7;1.85;1.95;3.45;1.9;5.0;2.4
13:30;Norwich;Hull;796;2.12;3.65;3.25;2.1;1.73;2.85;1.62;4.25;2.03
13:30;WBA;Sheffield Wed;784;1.48;4.4;6.7;1.92;1.88;3.25;2.05;5.4;2.55
13:30;Rayong;Sukhothai;768;1.82;3.8;3.9;2.1;1.65;2.68;1.6;4.3;1.97
13:30;Flora;Kuressaare;756;1.17;6.5;12.0;3.5;1.25;1.67;1.75;4.0;1.95
13:30;Asil Lysis;Nea Salamina Famagusta;;4.1;3.5;1.67;;;;;;
13:30;Dighenis;Agia Napa;;1.5;3.85;4.9;;;;;;
13:30;MEAP Nisou;Doxa Katokopias;;3.7;3.45;1.75;;;;;;
13:45;Lok. Plovdiv;Botev Plovdiv;760;2.03;3.25;3.7;1.7;2.05;3.7;1.85;5.1;2.5
14:00;Villarreal;Rayo Vallecano;899;1.75;3.85;4.85;2.15;1.73;2.8;1.7;4.6;2.1
14:00;Aue;Regensburg;791;2.12;3.55;3.25;2.03;1.7;2.8;1.6;4.3;2.03
14:00;Munich 1860;Cottbus;795;2.23;3.8;2.85;2.35;1.53;2.37;1.45;3.7;1.77
14:00;Osnabruck;Duisburg;791;2.23;3.4;3.15;1.93;1.77;3.05;1.63;4.5;2.12
14:00;TSV Havelse;Wehen;798;3.5;4.0;1.9;2.5;1.47;2.2;1.43;3.6;1.7
14:00;Ulm;Stuttgart II;795;2.32;3.5;2.9;2.32;1.55;2.4;1.47;3.75;1.8
14:00;Amiens;Grenoble;790;2.8;3.1;2.63;1.72;2.13;3.9;1.85;5.0;2.5
14:00;Reims;Dunkerque;791;2.13;3.5;3.3;1.85;1.97;3.45;1.77;4.8;2.3
14:00;Pontevedra;Zamora CF;753;2.15;2.9;3.35;1.5;2.4;4.75;2.05;6.0;2.9
14:00;M. Haifa;H. Jerusalem;757;1.25;5.9;8.5;2.7;1.4;2.03;1.72;4.33;2.0
14:00;Progreso;Montevideo City;766;3.3;3.45;2.1;1.85;1.85;3.25;1.7;4.7;2.23
14:00;Umraniyespor;Sivasspor;759;5.1;3.55;1.67;1.77;1.93;3.45;1.9;5.25;2.47
14:00;Aarhus Fremad;Hvidovre;768;2.12;3.6;3.1;2.05;1.7;2.8;1.57;4.25;2.0
14:00;Hillerod;Kolding IF;770;2.52;3.35;2.68;1.9;1.8;3.1;1.63;4.5;2.13
14:00;Middelfart;Aalborg;767;4.1;3.9;1.75;2.15;1.65;2.63;1.6;4.3;1.97
14:00;Opava;Taborsko;764;2.33;3.1;3.0;1.7;2.03;3.7;1.77;4.95;2.42
14:00;Bijelo Brdo;Sesvete;755;2.68;2.9;2.55;1.5;2.33;4.55;1.97;5.7;2.8
14:00;Brabrand;Hellerup;389;2.85;3.35;2.15;2.0;1.7;2.8;1.57;4.2;2.0
